Data;cambio;Selic ;inflacao
jan/95;0,8451;3,37;1,7
fev/95;0,8388;3,25;1,02
mar/95;0,8874;4,26;1,55
abr/95;0,9055;4,26;2,43
mai/95;0,8954;4,25;2,67
jun/95;0,912;4,04;2,26
jul/95;0,9268;4,02;2,36
ago/95;0,94;3,84;0,99
set/95;0,9508;3,32;0,99
out/95;0,9587;3,09;1,41
nov/95;0,9624;2,88;1,47
dez/95;0,9673;2,78;1,56
jan/96;0,9735;2,58;1,34
fev/96;0,9801;2,35;1,03
mar/96;0,9853;2,22;0,35
abr/96;0,9894;2,07;1,26
mai/96;0,9945;2,01;1,22
jun/96;1,0005;1,98;1,19
jul/96;1,0061;1,93;1,11
ago/96;1,0126;1,97;0,44
set/96;1,0185;1,9;0,15
out/96;1,0243;1,86;0,3
nov/96;1,0296;1,8;0,32
dez/96;1,0365;1,8;0,47
jan/97;1,0421;1,73;1,18
fev/97;1,0485;1,67;0,5
mar/97;1,0559;1,64;0,51
abr/97;1,0601;1,66;0,88
mai/97;1,0675;1,58;0,41
jun/97;1,0738;1,61;0,54
jul/97;1,0799;1,6;0,22
ago/97;1,0871;1,59;-0,02
set/97;1,0928;1,59;0,06
out/97;1,0993;1,67;0,23
nov/97;1,1065;3,04;0,17
dez/97;1,1128;2,97;0,43
jan/98;1,1191;2,67;0,71
fev/98;1,1263;2,13;0,46
mar/98;1,1329;2,2;0,34
abr/98;1,1404;1,71;0,24
mai/98;1,1473;1,63;0,5
jun/98;1,1538;1,6;0,02
jul/98;1,1607;1,7;-0,12
ago/98;1,1709;1,48;-0,51
set/98;1,1801;2,49;-0,22
out/98;1,1876;2,94;0,02
nov/98;1,1929;2,63;-0,12
dez/98;1,2046;2,4;0,33
jan/99;1,5011;2,18;0,7
fev/99;1,9129;2,38;1,05
mar/99;1,896;3,33;1,1
abr/99;1,6933;2,35;0,56
mai/99;1,6827;2,02;0,3
jun/99;1,7646;1,67;0,19
jul/99;1,7995;1,66;1,09
ago/99;1,88;1,57;0,56
set/99;1,8973;1,49;0,31
out/99;1,9687;1,38;1,19
nov/99;1,9291;1,39;0,95
dez/99;1,842;1,6;0,6
jan/00;1,8029;1,46;0,62
fev/00;1,7745;1,45;0,13
mar/00;1,7412;1,45;0,22
abr/00;1,7674;1,3;0,42
mai/00;1,8271;1,49;0,01
jun/00;1,8075;1,39;0,23
jul/00;1,797;1,31;1,61
ago/00;1,8084;1,41;1,31
set/00;1,8384;1,22;0,23
out/00;1,8788;1,29;0,14
nov/00;1,9472;1,22;0,32
dez/00;1,9625;1,2;0,59
jan/01;1,9537;1,27;0,57
fev/01;2,0011;1,02;0,46
mar/01;2,0882;1,26;0,38
abr/01;2,1917;1,19;0,58
mai/01;2,2964;1,34;0,41
jun/01;2,375;1,27;0,52
jul/01;2,4652;1,5;1,33
ago/01;2,5098;1,6;0,7
set/01;2,6709;1,32;0,28
out/01;2,7394;1,53;0,83
nov/01;2,5423;1,39;0,71
dez/01;2,3619;1,39;0,65
jan/02;2,3771;1,53;0,52
fev/02;2,4188;1,25;0,36
mar/02;2,3458;1,37;0,6
abr/02;2,3196;1,48;0,8
mai/02;2,4796;1,41;0,21
jun/02;2,7132;1,33;0,42
jul/02;2,9338;1,54;1,19
ago/02;3,1093;1,44;0,65
set/02;3,3412;1,38;0,72
out/02;3,8051;1,65;1,31
nov/02;3,5756;1,54;3,02
dez/02;3,6251;1,74;2,1
jan/03;3,4376;1,97;2,25
fev/03;3,59;1,83;1,57
mar/03;3,4461;1,78;1,23
abr/03;3,1179;1,87;0,97
mai/03;2,9549;1,97;0,61
jun/03;2,8824;1,86;-0,15
jul/03;2,879;2,08;0,2
ago/03;3,0017;1,77;0,34
set/03;2,922;1,68;0,78
out/03;2,8607;1,64;0,29
nov/03;2,913;1,34;0,34
dez/03;2,9245;1,37;0,52
jan/04;2,851;1,27;0,76
fev/04;2,9295;1,08;0,61
mar/04;2,9047;1,38;0,47
abr/04;2,9052;1,18;0,37
mai/04;3,0996;1,23;0,51
jun/04;3,1283;1,23;0,71
jul/04;3,036;1,29;0,91
ago/04;3,0021;1,29;0,69
set/04;2,8903;1,25;0,33
out/04;2,8521;1,21;0,44
nov/04;2,7852;1,25;0,69
dez/04;2,7174;1,48;0,86
jan/05;2,6922;1,38;0,58
fev/05;2,597;1,22;0,59
mar/05;2,7039;1,53;0,61
abr/05;2,5784;1,41;0,87
mai/05;2,452;1,5;0,49
jun/05;2,4127;1,59;-0,02
jul/05;2,3727;1,51;0,25
ago/05;2,3598;1,66;0,17
set/05;2,2936;1,5;0,35
out/05;2,2557;1,41;0,75
nov/05;2,21;1,38;0,55
dez/05;2,2847;1,47;0,36
jan/06;2,2731;1,43;0,59
fev/06;2,1611;1,15;0,41
mar/06;2,1512;1,42;0,43
abr/06;2,1285;1,08;0,21
mai/06;2,1773;1,28;0,1
jun/06;2,2475;1,18;-0,21
jul/06;2,1885;1,17;0,19
ago/06;2,1551;1,26;0,05
set/06;2,1679;1,06;0,21
out/06;2,1475;1,09;0,33
nov/06;2,1571;1,02;0,31
dez/06;2,1491;0,99;0,48
jan/07;2,1377;1,08;0,44
fev/07;2,0955;0,87;0,44
mar/07;2,0879;1,05;0,37
abr/07;2,0312;0,94;0,25
mai/07;1,9808;1,03;0,28
jun/07;1,9311;0,91;0,28
jul/07;1,882;0,97;0,24
ago/07;1,9652;0,99;0,47
set/07;1,8988;0,8;0,18
out/07;1,8002;0,93;0,3
nov/07;1,7691;0,84;0,38
dez/07;1,7852;0,84;0,74
jan/08;1,7735;0,93;0,54
fev/08;1,7269;0,8;0,49
mar/08;1,7068;0,84;0,48
abr/08;1,6881;0,9;0,55
mai/08;1,6597;0,88;0,79
jun/08;1,6181;0,96;0,74
jul/08;1,5906;1,07;0,53
ago/08;1,6115;1,02;0,28
set/08;1,7988;1,1;0,26
out/08;2,1721;1,18;0,45
nov/08;2,2655;1,02;0,36
dez/08;2,3936;1,12;0,28
jan/09;2,3066;1,05;0,48
fev/09;2,3119;0,86;0,55
mar/09;2,313;0,97;0,2
abr/09;2,2051;0,84;0,48
mai/09;2,0601;0,77;0,47
jun/09;1,9568;0,76;0,36
jul/09;1,932;0,79;0,24
ago/09;1,8444;0,69;0,15
set/09;1,819;0,69;0,24
out/09;1,7376;0,69;0,28
nov/09;1,7254;0,66;0,41
dez/09;1,7495;0,73;0,37
jan/10;1,779;0,66;0,75
fev/10;1,8408;0,59;0,78
mar/10;1,785;0,76;0,52
abr/10;1,7558;0,67;0,57
mai/10;1,8124;0,75;0,43
jun/10;1,8057;0,79;0
jul/10;1,7688;0,86;0,01
ago/10;1,7588;0,89;0,04
set/10;1,7179;0,85;0,45
out/10;1,6827;0,81;0,75
nov/10;1,7125;0,81;0,83
dez/10;1,6926;0,93;0,63
jan/11;1,6741;0,86;0,83
fev/11;1,6672;0,84;0,8
mar/11;1,6583;0,92;0,79
abr/11;1,5856;0,84;0,77
mai/11;1,6127;0,99;0,47
jun/11;1,5862;0,96;0,15
jul/11;1,5631;0,97;0,16
ago/11;1,5962;1,07;0,37
set/11;1,749;0,94;0,53
out/11;1,7719;0,88;0,43
nov/11;1,7898;0,86;0,52
dez/11;1,8362;0,91;0,5
jan/12;1,789;0,89;0,56
fev/12;1,7178;0,75;0,45
mar/12;1,7947;0,82;0,21
abr/12;1,8542;0,71;0,64
mai/12;1,9854;0,74;0,36
jun/12;2,0486;0,64;0,08
jul/12;2,0282;0,68;0,43
ago/12;2,0289;0,69;0,41
set/12;2,0275;0,54;0,57
out/12;2,0293;0,61;0,59
nov/12;2,0672;0,55;0,6
dez/12;2,0772;0,55;0,79
jan/13;2,0305;0,6;0,86
fev/13;1,9727;0,49;0,6
mar/13;1,9823;0,55;0,47
abr/13;2,0016;0,61;0,55
mai/13;2,0343;0,6;0,37
jun/13;2,1724;0,61;0,26
jul/13;2,2516;0,72;0,03
ago/13;2,3416;0,71;0,24
set/13;2,2699;0,71;0,35
out/13;2,1881;0,81;0,57
nov/13;2,2947;0,72;0,54
dez/13;2,3449;0,79;0,92
jan/14;2,3816;0,85;0,55
fev/14;2,3831;0,79;0,69
mar/14;2,3255;0,77;0,92
abr/14;2,2322;0,82;0,67
mai/14;2,2203;0,87;0,46
jun/14;2,2349;0,82;0,4
jul/14;2,224;0,95;0,01
ago/14;2,2674;0,87;0,25
set/14;2,3323;0,91;0,57
out/14;2,4476;0,95;0,42
nov/14;2,5477;0,84;0,51
dez/14;2,6387;0,96;0,78
jan/15;2,6336;0,94;1,24
fev/15;2,8158;0,82;1,22
mar/15;3,1389;1,04;1,32
abr/15;3,0426;0,95;0,71
mai/15;3,0611;0,99;0,74
jun/15;3,1111;1,07;0,79
jul/15;3,2225;1,18;0,62
ago/15;3,5137;1,11;0,22
set/15;3,9058;1,11;0,54
out/15;3,8795;1,11;0,82
nov/15;3,7758;1,06;1,01
dez/15;3,8705;1,16;0,96
jan/16;4,0517;1,06;1,27
fev/16;3,9731;1;0,9
mar/16;3,7033;1,16;0,43
abr/16;3,5652;1,06;0,61
mai/16;3,5387;1,11;0,78
jun/16;3,4239;1,16;0,35
jul/16;3,275;1,11;0,52
ago/16;3,2091;1,22;0,44
set/16;3,2558;1,11;0,08
out/16;3,1852;1,05;0,26
nov/16;3,3414;1,04;0,18
dez/16;3,3517;1,12;0,3
jan/17;3,196;1,09;0,38
fev/17;3,1036;0,87;0,33
mar/17;3,1273;1,05;0,25
abr/17;3,1356;0,79;0,14
mai/17;3,2087;0,93;0,31
jun/17;3,2948;0,81;-0,23
jul/17;3,2055;0,8;0,24
ago/17;3,1503;0,8;0,19
set/17;3,1342;0,64;0,16
out/17;3,1906;0,64;0,42
nov/17;3,2587;0,57;0,28
dez/17;3,2913;0,54;0,44
jan/18;3,21;0,58;0,29
fev/18;3,2409;0,47;0,32
mar/18;3,2786;0,53;0,09
abr/18;3,4069;0,52;0,22
mai/18;3,6355;0,52;0,4
jun/18;3,7726;0,52;1,26
jul/18;3,8281;0,54;0,33
ago/18;3,9292;0,57;-0,09
set/18;4,1159;0,47;0,48
out/18;3,7578;0,54;0,45
nov/18;3,786;0,49;-0,21
dez/18;3,8844;0,49;0,15
jan/19;3,7411;0,54;0,32
fev/19;3,723;0,49;0,43
mar/19;3,8459;0,47;0,75
abr/19;3,8956;0,52;0,57
mai/19;4,0009;0,54;0,13
jun/19;3,8582;0,47;0,01
jul/19;3,7787;0,57;0,19
ago/19;4,0194;0,5;0,11
set/19;4,1209;0,46;-0,04
out/19;4,0864;0,48;0,1
nov/19;4,1547;0,38;0,51
dez/19;4,1089;0,37;1,15
jan/20;4,1489;0,38;0,21
fev/20;4,3404;0,29;0,25
mar/20;4,8832;0,34;0,07
abr/20;5,325;0,28;-0,31
mai/20;5,6429;0,24;-0,38
jun/20;5,196;0,21;0,26
jul/20;5,2796;0,19;0,36
ago/20;5,4606;0,16;0,24
set/20;5,3989;0,16;0,64
out/20;5,6252;0,16;0,86
nov/20;5,4172;0,15;0,89
dez/20;5,1449;0,16;1,35
jan/21;5,3556;0,15;0,25
fev/21;5,4159;0,13;0,86
mar/21;5,6455;0,2;0,93
abr/21;5,5615;0,21;0,31
mai/21;5,2904;0,27;0,83
jun/21;5,0313;0,31;0,53
jul/21;5,156;0,36;0,96
ago/21;5,2511;0,43;0,87
set/21;5,2791;0,44;1,16
out/21;5,5394;0,49;1,25
nov/21;5,5563;0,59;0,95
dez/21;5,6506;0,77;0,73
